# Constructed from biom file
#OTU ID	sample-39	sample-76	sample-110	sample-26	sample-1	sample-17	sample-59	sample-69	sample-11	sample-71	sample-88	sample-124	sample-19	sample-103	sample-111	sample-2	sample-73	sample-52	sample-115	sample-22	sample-92	sample-125	sample-120	sample-20	sample-105	sample-78	sample-121	sample-45	sample-109	sample-38	sample-53	sample-118	sample-85	sample-106	sample-7	sample-40	sample-21	sample-46	sample-99	sample-87	sample-62	sample-14	sample-63	sample-113	sample-50	sample-58	sample-60	sample-123	sample-104	sample-10	sample-3	sample-44	sample-49	sample-81	sample-25	sample-72	sample-41	sample-65	sample-122	sample-48	sample-93	sample-107	sample-79	sample-35	sample-61	sample-82	sample-64	sample-42	sample-116	sample-96	sample-86	sample-16	sample-108	sample-5	sample-6	sample-37	sample-70	sample-91	sample-23	sample-36	sample-34	sample-77	sample-56	sample-29	sample-98	sample-57	sample-66	sample-97	sample-30	sample-84	sample-68	sample-18	sample-24	sample-33	sample-102	sample-100	sample-67	sample-75	sample-80	sample-117	sample-8	sample-94	sample-47	sample-4	sample-74	sample-32	sample-9	sample-114	sample-101	sample-13	sample-31	sample-43	sample-55	sample-27	sample-95
9714ef414d49254438928619d2978c84	603.0	132.0	0.0	1033.0	0.0	0.0	1950.0	1609.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	897.0	372.0	0.0	0.0	0.0	0.0	0.0	3496.0	0.0	436.0	0.0	0.0	0.0	0.0	0.0	726.0	0.0	856.0	620.0	1413.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1620.0	239.0	288.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	37.0	37.0	0.0	0.0	0.0	0.0	271.0	249.0	0.0	1110.0	0.0	0.0	99.0	0.0	1115.0	741.0	1826.0	0.0	0.0	0.0	3246.0	0.0	0.0	676.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	843.0	0.0	0.0	2377.0	0.0	0.0	0.0	0.0	0.0	0.0	868.0	0.0	0.0	0.0	31.0
94bb48e3251c9b21bd927846f6dc8d96	542.0	139.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	1344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	1800.0	0.0	372.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	293.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	807.0	0.0	20.0	68.0	627.0	0.0	0.0	0.0	2565.0	0.0	0.0	0.0	1907.0	118.0	27.0	0.0	0.0	0.0	0.0	486.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	621.0	39.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1405.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	0.0	0.0
35c8c06cddb157dd064e824bf1ba1848	350.0	30.0	0.0	42.0	0.0	0.0	1277.0	58.0	0.0	0.0	930.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	587.0	0.0	488.0	0.0	0.0	0.0	0.0	0.0	43.0	61.0	0.0	0.0	0.0	0.0	7.0	0.0	41.0	2.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	2.0	117.0	572.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	114.0	667.0	170.0	0.0	0.0	0.0	0.0	574.0	3.0	0.0	30.0	0.0	0.0	224.0	0.0	19.0	21.0	14.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	402.0	0.0	0.0	0.0	0.0	0.0	0.0	414.0	0.0	173.0	0.0	116.0
7c036342620f107b4b773979c583ddcb	340.0	3.0	0.0	189.0	0.0	0.0	0.0	36.0	0.0	0.0	575.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	90.0	0.0	0.0	0.0	49.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	1363.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	34.0	0.0	75.0	36.0	0.0	0.0	204.0	0.0	0.0	0.0	218.0	216.0	0.0	0.0	0.0	0.0	0.0	215.0	168.0	0.0	1101.0	0.0	0.0	154.0	0.0	4.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	0.0	0.0	0.0	792.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	688.0	0.0	0.0	0.0	0.0	0.0	8.0	190.0	0.0	0.0	0.0	341.0
b4bf5816bb903603932d31eba38e6937	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9373d83affd97dc95ddc44e61b33bdc7	300.0	12.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	713.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	967.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	97.0	0.0	0.0	2.0	58.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	23.0
25d61b84d074734765a68e936612ab0d	271.0	562.0	0.0	4120.0	0.0	0.0	6092.0	617.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463.0	660.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	208.0	324.0	0.0	0.0	0.0	0.0	0.0	0.0	693.0	304.0	1629.0	2.0	0.0	0.0	0.0	0.0	0.0	637.0	0.0	1381.0	255.0	1348.0	938.0	0.0	0.0	2792.0	0.0	0.0	0.0	14.0	1061.0	216.0	0.0	0.0	0.0	0.0	397.0	249.0	0.0	2422.0	0.0	0.0	88.0	0.0	1570.0	47.0	458.0	0.0	0.0	0.0	1960.0	0.0	0.0	1102.0	0.0	0.0	0.0	0.0	0.0	0.0	1144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	186.0	0.0	0.0	485.0	0.0	0.0	0.0	0.0	0.0	1487.0	392.0	0.0	201.0	0.0	339.0
5dbc9ca4e124467cbc3bf5e49ffa2fc7	268.0	108.0	0.0	2111.0	0.0	0.0	0.0	47.0	0.0	0.0	3687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	702.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	34.0	0.0	65.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	1006.0	485.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2715.0	10.0	0.0	0.0	0.0	0.0	0.0	924.0	14.0	0.0	0.0	0.0	0.0	735.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	15243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	788.0	0.0	0.0	0.0	0.0	0.0	1115.0	476.0	0.0	0.0	0.0	4304.0
eb3447f93088a0447ef986ac18790d69	153.0	7.0	0.0	0.0	0.0	0.0	1038.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1047.0	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	0.0	0.0	0.0	0.0	0.0	0.0	638.0	0.0	68.0	0.0	224.0
55cec7e6d52f9dbcfaa9dd8910633836	150.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1337.0	0.0	0.0	22.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	498.0	0.0	0.0
