# Constructed from biom file
#OTU ID	sample-1	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-2	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-3	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-4	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-5	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-6	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-7	sample-8	sample-9
cace1833200e1bdac4a75b0ed6ccdf27	572.0	877.0	746.0	2874.0	1168.0	1442.0	561.0	627.0	1950.0	2151.0	564.0	883.0	1292.0	553.0	140.0	1330.0	769.0	411.0	124.0	483.0	2135.0	1633.0	49.0	454.0	1362.0	1511.0	402.0	1198.0	1661.0	547.0	5082.0	1897.0	1502.0	592.0	625.0	63.0	81.0	786.0	1085.0	1784.0	1814.0	1269.0	611.0	658.0	976.0	577.0	1080.0	1054.0	929.0	8679.0	128.0	17.0	1039.0	314.0	705.0	532.0	1612.0	918.0	1609.0	1552.0	1526.0	584.0	1447.0	2287.0	1596.0	802.0	570.0	1317.0
c3ccb53521eb5394b1c0c2fa9101a089	2093.0	45.0	1373.0	664.0	1531.0	0.0	2410.0	4567.0	37.0	0.0	604.0	115.0	0.0	2815.0	184.0	325.0	312.0	0.0	706.0	0.0	448.0	422.0	87.0	712.0	1193.0	1230.0	111.0	3340.0	32.0	2539.0	1599.0	4585.0	406.0	326.0	2033.0	86.0	62.0	1195.0	2358.0	2988.0	1344.0	885.0	0.0	1136.0	1755.0	566.0	1091.0	3391.0	65.0	653.0	1924.0	19.0	2577.0	615.0	914.0	598.0	290.0	346.0	1301.0	455.0	280.0	2812.0	436.0	686.0	1738.0	54.0	124.0	1407.0
80fcab2f242f9d6182d2e7c3dde219b7	3265.0	225.0	4020.0	36.0	0.0	148.0	2222.0	400.0	677.0	0.0	505.0	2061.0	89.0	676.0	410.0	1461.0	1547.0	0.0	406.0	283.0	1229.0	165.0	334.0	3468.0	1404.0	1057.0	728.0	2495.0	305.0	1201.0	1085.0	0.0	4274.0	288.0	1543.0	404.0	94.0	255.0	0.0	2272.0	1036.0	254.0	570.0	1113.0	36.0	162.0	2294.0	1777.0	513.0	3210.0	171.0	13.0	113.0	1248.0	244.0	612.0	132.0	1156.0	1536.0	2646.0	455.0	288.0	1229.0	2505.0	635.0	303.0	2272.0	0.0
da3d1a7c2ed96d428f77a585023005ad	177.0	257.0	525.0	138.0	526.0	1773.0	543.0	370.0	343.0	166.0	676.0	286.0	2924.0	300.0	122.0	1403.0	0.0	173.0	162.0	972.0	1218.0	1226.0	219.0	926.0	0.0	890.0	193.0	944.0	2004.0	489.0	2648.0	1189.0	4484.0	676.0	2155.0	172.0	412.0	1930.0	58.0	1403.0	1259.0	181.0	786.0	621.0	268.0	1584.0	2812.0	453.0	2286.0	1956.0	4429.0	10.0	671.0	1092.0	45.0	308.0	3065.0	1025.0	0.0	457.0	771.0	77.0	322.0	706.0	1922.0	1135.0	2126.0	380.0
d5ddbbf1515eed631a8ad8227f2258e0	727.0	185.0	1104.0	521.0	16.0	60.0	413.0	999.0	221.0	6143.0	2082.0	323.0	160.0	651.0	961.0	118.0	278.0	797.0	523.0	640.0	380.0	153.0	0.0	151.0	2799.0	489.0	823.0	187.0	454.0	326.0	2150.0	0.0	4607.0	110.0	336.0	1481.0	75.0	1149.0	92.0	411.0	332.0	121.0	375.0	2828.0	32.0	193.0	142.0	156.0	1161.0	12188.0	373.0	0.0	388.0	881.0	189.0	30.0	2499.0	431.0	1034.0	248.0	1032.0	533.0	1972.0	274.0	390.0	396.0	2813.0	0.0
1ecec083bc304c24df346d1c1175b501	6918.0	0.0	1549.0	9366.0	0.0	0.0	0.0	3655.0	0.0	9.0	1778.0	2479.0	0.0	0.0	0.0	2435.0	0.0	0.0	1630.0	0.0	896.0	0.0	87.0	0.0	11.0	0.0	0.0	0.0	1243.0	0.0	2720.0	0.0	9.0	1364.0	3991.0	0.0	0.0	2912.0	885.0	1108.0	2844.0	0.0	0.0	1399.0	1259.0	1602.0	913.0	0.0	990.0	0.0	1585.0	0.0	2406.0	0.0	0.0	0.0	512.0	0.0	0.0	96.0	4.0	0.0	0.0	639.0	4773.0	0.0	0.0	0.0
28935a72b142f4d6adff04f846e1a867	0.0	916.0	623.0	180.0	221.0	445.0	683.0	3016.0	3013.0	0.0	68.0	299.0	524.0	1307.0	363.0	1724.0	0.0	0.0	381.0	1447.0	760.0	499.0	119.0	628.0	1802.0	601.0	30.0	3856.0	3220.0	1386.0	1349.0	228.0	1647.0	229.0	211.0	48.0	107.0	472.0	661.0	468.0	737.0	155.0	8067.0	1917.0	221.0	977.0	2207.0	723.0	228.0	1358.0	165.0	9.0	589.0	2095.0	162.0	397.0	839.0	161.0	0.0	347.0	473.0	788.0	0.0	998.0	668.0	849.0	815.0	75.0
3f7ed766eda9953a8d7abf9ceda4d269	618.0	80.0	108.0	892.0	2471.0	901.0	143.0	759.0	1653.0	101.0	0.0	649.0	0.0	694.0	452.0	0.0	0.0	39.0	136.0	156.0	338.0	2043.0	31.0	36.0	22.0	292.0	73.0	125.0	259.0	244.0	5905.0	13.0	50.0	14.0	845.0	12.0	2373.0	40.0	6203.0	2894.0	3401.0	138.0	120.0	197.0	2603.0	1449.0	1058.0	34.0	38.0	379.0	1628.0	0.0	1341.0	87.0	201.0	662.0	264.0	362.0	12.0	74.0	222.0	852.0	112.0	1353.0	2512.0	95.0	9.0	35.0
1f7fc0162e7a6e3b0c55d1f62e75044b	119.0	297.0	1514.0	0.0	145.0	0.0	1878.0	977.0	473.0	1187.0	1403.0	1014.0	0.0	1026.0	65.0	689.0	1102.0	245.0	442.0	653.0	1339.0	199.0	75.0	647.0	4569.0	807.0	320.0	1454.0	911.0	219.0	459.0	0.0	368.0	872.0	2528.0	78.0	303.0	1610.0	12.0	752.0	787.0	272.0	2052.0	1004.0	11.0	681.0	2017.0	2671.0	242.0	320.0	84.0	0.0	1038.0	1623.0	73.0	21.0	807.0	253.0	1139.0	281.0	269.0	1037.0	235.0	14.0	1397.0	560.0	532.0	0.0
ea3cc24667e266fe7b61e443c6412d82	225.0	285.0	1241.0	1536.0	630.0	386.0	272.0	1283.0	405.0	176.0	815.0	571.0	373.0	369.0	768.0	691.0	1022.0	34.0	409.0	161.0	454.0	843.0	31.0	117.0	831.0	1224.0	377.0	1691.0	585.0	904.0	178.0	921.0	1194.0	296.0	802.0	713.0	63.0	1242.0	88.0	1053.0	638.0	643.0	864.0	704.0	55.0	446.0	760.0	1741.0	559.0	5568.0	311.0	26.0	310.0	375.0	605.0	801.0	823.0	683.0	2750.0	998.0	907.0	188.0	309.0	0.0	785.0	203.0	603.0	683.0
