	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	robbins	robbins	robbins	robbins	robbins	robbins	robbins	robbins	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
dataset																																								
18_mixed_Fiber	156.0	0.12312081985582125	0.05305562819534905	0.053279853456716	0.08735662070030614	0.11099450985711395	0.13353033508009393	0.3330699952599146	156.0	175.03205128205127	52.29980816245516	89.0	137.75	166.0	207.25	361.0	156.0	0.0007952753135952905	0.0006840303806722213	4.255409689567864e-05	0.00035071436765520003	0.0006521567158053	0.0010384516453343252	0.0054446460980036	156.0	5.537761996992238	0.40247776323328094	4.391693152357444	5.320810179450209	5.569516649472827	5.811566804236721	6.396739630740091	156.0	16.959331370217495	4.0535916149097115	9.864417215392228	14.191154761894762	16.775875645853475	19.590435684739564	28.868813888303187
23_obese_baseline	23.0	0.21387924212039372	0.16915415629370245	0.0727143067919146	0.13421579589882238	0.1628811131573562	0.2347714455055491	0.9220406635898716	23.0	288.95652173913044	70.3041950519116	145.0	231.5	306.0	356.0	389.0	23.0	0.0003195775467616507	0.00027072893189586346	6.665155897996454e-05	0.00022752969420055	0.0002647236789027	0.00032778414042075	0.0014879107253564	23.0	4.783161186204826	1.0688155950800737	0.8119543747411676	4.5181449175295	5.0366530297142855	5.289267689152398	6.010784904653298	0.0							
23_obese_post	23.0	0.2218419998902939	0.1534238925929963	0.0856517043639627	0.14924646699744584	0.1917285415468924	0.22328947321442721	0.8552595767843778	23.0	277.30434782608694	68.16186269235679	179.0	236.0	281.0	326.0	404.0	23.0	0.00030349985392056527	0.00016559041938027488	0.0001390933432244	0.00019139521678985	0.0002691709534633	0.00036096159150505	0.0008704663212435	23.0	4.691464299894364	0.9030619946631357	1.3715193090129656	4.422556365389562	4.6479612318860095	5.183284562596743	5.723247954430966	0.0							
248_citizen_after	200.0	0.2230749031042502	0.10284468496514629	0.0590527577937649	0.14979322919727836	0.200838855651839	0.27519556168379705	0.7893521064789352	200.0	112.175	51.81164548670696	38.0	80.0	100.0	123.75	349.0	200.0	0.0005371818519852697	0.0009087112520934702	0.0	6.991364135024309e-05	0.00019041400954010002	0.0006218796448313	0.0086923658352229	200.0	4.441015943448	0.6742131156809742	1.293549398589967	4.017511264467428	4.500026894564728	4.911239934732957	6.314843948317048	200.0	6.329289061322302	1.2678194907175213	3.479034044556097	5.527460747656666	6.363451771386509	7.137929292852338	10.241598442406046
248_citizen_before	213.0	0.2074105519997387	0.11564387109241152	0.0615072423203414	0.1394792299174911	0.1797029702970297	0.2417104547925349	0.9060150375939848	213.0	133.22535211267606	60.94418971402456	48.0	88.0	117.0	172.0	323.0	213.0	0.0006929855569012714	0.0008295216278817559	0.0	8.296689620841284e-05	0.0003319915342158	0.0010433745714711	0.0060173835524849	213.0	4.68582960854147	0.7685963267434636	0.8971656454350173	4.2749368962362615	4.748746476411436	5.194566881115623	6.321147897096977	213.0	6.411017976037463	1.2303954768428633	3.811193070958319	5.393742983116933	6.435293251891634	7.253608216080341	9.42286101998526
29_children_EU_Africa_Africa	14.0	0.4017931932192126	0.13472371502427594	0.1625568260090921	0.30663576989461894	0.379653476709057	0.5242558460695883	0.6223771444193835	14.0	139.64285714285714	50.0347681315505	73.0	87.5	152.0	174.0	212.0	14.0	0.00116462588413685	0.0007188880036540959	0.0001492091912861	0.00060781505930105	0.0011740580930457499	0.0014664245490241	0.0026136957658128	14.0	3.7815319071407965	1.1245225846811286	2.265169358144324	2.846211138992314	3.5708364915762867	4.837928632094083	5.666641368697053	0.0							
29_children_EU_Africa_Europe	15.0	0.280548761891145	0.13943720544802504	0.141832729468599	0.1894978449712292	0.2549957092068162	0.32132335136989204	0.6003862779361722	15.0	119.4	42.15922200420686	58.0	87.5	131.0	142.0	193.0	15.0	0.0010688045313840733	0.0007677467528036237	0.0003678837487353	0.0005821032922342501	0.0008302200083022	0.0012684717237271999	0.0033644859813084	15.0	4.2485274101174735	0.8864689171916948	2.68194977731732	3.8062179452035823	4.456387234155326	4.782788715902521	5.651022760038181	0.0							
29_children_EU_Africa_dada_Africa	14.0	0.3901420017243996	0.1435090846932319	0.1455303381194997	0.2761208517552659	0.37807947949200155	0.521729486558022	0.6048881715471525	14.0	91.07142857142857	38.41166546709533	38.0	58.5	90.0	114.5	154.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	3.753459504999982	1.2237705193122062	2.1675488561709364	2.7603038856727773	3.517035551096318	4.929344286076214	5.808856155132546	14.0	9.295025836144452	4.29026301598624	4.516966701487373	5.782272611902908	9.08583627052554	10.819173896781558	20.1610331472792
29_children_EU_Africa_dada_Europe	15.0	0.2737198350431501	0.14180715066095664	0.1349410797478761	0.17595863655156885	0.2551207182079665	0.30254105730540315	0.60429690306819	15.0	76.66666666666667	26.37278539562724	36.0	58.5	80.0	94.5	131.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.2360150560297365	0.9062001643029014	2.60007299973701	3.8975652405414527	4.538251928580173	4.819097297361358	5.593310798180313	15.0	5.677361549853032	1.470565469395312	3.2762355176198663	4.819711834709626	5.49503285974256	6.671003106853299	8.0797835865347
346_asian_China	59.0	0.14521509393088658	0.07403914717044614	0.0582168995342648	0.09078879838599066	0.1268104280656582	0.17901315114519475	0.3838097933767336	59.0	175.47457627118644	41.836032948101085	99.0	146.0	172.0	205.5	284.0	59.0	0.005679171586343425	0.0019602513790454375	0.0019006244909041	0.004213688052975201	0.0058246474555487	0.00690851261235705	0.0112951807228915	59.0	5.685415765042349	0.5028876898734137	4.090698884592537	5.486708734806335	5.726142479655964	6.036132190930871	6.485653646142016	59.0	14.787894505603091	1.4855408431006736	11.84740687078085	13.849461049063875	14.928258661818544	15.806479587351209	18.004976427364838
