# Constructed from biom file
#OTU ID	sample-20	sample-41	sample-18	sample-34	sample-11	sample-14	sample-2	sample-22	sample-4	sample-6	sample-27	sample-25	sample-3	sample-46	sample-10	sample-26	sample-31	sample-17	sample-29	sample-38	sample-28	sample-30	sample-13	sample-32	sample-15	sample-16	sample-7	sample-37	sample-9	sample-12	sample-8	sample-1	sample-39	sample-45	sample-23	sample-44	sample-21	sample-35	sample-19	sample-42	sample-43	sample-5	sample-33	sample-40	sample-24	sample-36
68fdeac79abb98239c54acb1a6cd35a4	677.0	29.0	27.0	0.0	6.0	0.0	0.0	92.0	44.0	23.0	12.0	36.0	24.0	24.0	0.0	0.0	9.0	119.0	6.0	8.0	132.0	34.0	0.0	3.0	21.0	20.0	8.0	32.0	275.0	0.0	144.0	27.0	6.0	24.0	1.0	10.0	2.0	4.0	9.0	0.0	0.0	7.0	0.0	87.0	28.0	4.0
0cf828b12dc6805bff13e2b6561626f1	592.0	2.0	0.0	0.0	13.0	0.0	0.0	19.0	0.0	26.0	41.0	0.0	0.0	98.0	72.0	14.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	6.0	61.0	0.0	189.0	0.0	74.0	0.0	4.0	0.0	0.0	98.0	570.0	207.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
6f14aec78b37908a8cb0bc7cfbb773d4	545.0	0.0	2012.0	27.0	832.0	0.0	0.0	591.0	0.0	0.0	925.0	5.0	0.0	0.0	651.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	3842.0	0.0	0.0	0.0	0.0	1320.0	481.0	3392.0	0.0	0.0	0.0	0.0	5252.0	0.0	2.0	0.0	93.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0
8990c088d44ba126f1c633d5d3d62fe9	542.0	103.0	0.0	0.0	0.0	128.0	0.0	2826.0	0.0	0.0	0.0	1203.0	0.0	3133.0	0.0	0.0	0.0	0.0	128.0	0.0	91.0	0.0	317.0	2240.0	1323.0	0.0	0.0	125.0	839.0	11025.0	17.0	0.0	0.0	3133.0	612.0	407.0	16.0	330.0	0.0	11.0	0.0	0.0	219.0	142.0	27.0	613.0
bcb0f5d236c5d45533ab1d1f5a5202ad	520.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abafe86f5d9923ea987e1228a5cfbe33	462.0	3.0	234.0	4.0	175.0	14.0	5.0	158.0	2252.0	623.0	128.0	509.0	12.0	587.0	326.0	80.0	137.0	36.0	4.0	76.0	3.0	61.0	193.0	2982.0	1849.0	809.0	467.0	4.0	947.0	1768.0	283.0	67.0	191.0	587.0	230.0	112.0	133.0	0.0	14.0	38.0	34.0	427.0	5051.0	3.0	488.0	7.0
384f85356d9de10fa40dcee80d6fd971	429.0	324.0	0.0	1033.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	131.0	0.0	723.0	45.0	0.0	0.0	80.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	10.0	163.0	68.0	0.0	0.0	0.0	150.0	419.0	1180.0	1187.0	0.0
2e1688f08134bbd5528082bb8dbed7e6	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	1275.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	1.0	0.0	0.0	42.0	0.0	203.0	141.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4987e2ff3e4b322fc32d39cc6bf6a000	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	333.0	2.0	0.0	164.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	72.0	0.0	81.0	0.0	0.0	164.0	0.0	546.0	6.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
d27c596d170273a7a9ac2f1862ca1607	375.0	0.0	33.0	0.0	0.0	16.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	47.0	0.0	1.0	0.0	267.0	0.0	0.0	0.0	0.0	7.0	0.0	134.0	0.0	0.0	0.0	0.0	28.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
